$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStackT1, $uProtocolStackT2, $uWSDisk, $uWSP, $uWebServer
1, 0.000497782, 8.91095, 0.0026834, 0.00163397, 0.00244287, 0.00244287, 0.00124209, 0.00269585, 0.00102814, 0.00149506, 0.00113009
5, 0.00248835, 9.36174, 0.0134142, 0.00816801, 0.0122116, 0.0122116, 0.00620906, 0.0134762, 0.00513957, 0.00747364, 0.00564941
10, 0.00497526, 9.94562, 0.0268201, 0.0163313, 0.0244161, 0.0244161, 0.0124146, 0.0269445, 0.0102761, 0.0149429, 0.0112951
50, 0.0248064, 15.6101, 0.133723, 0.0814268, 0.121737, 0.121737, 0.0619199, 0.134367, 0.0512364, 0.0745044, 0.0563178
75, 0.0371219, 20.3712, 0.200175, 0.121851, 0.182173, 0.182174, 0.0926346, 0.201054, 0.0766729, 0.111495, 0.0843284
100, 0.0493453, 26.541, 0.265988, 0.161966, 0.242148, 0.242147, 0.123118, 0.267207, 0.101913, 0.148195, 0.112018
125, 0.06143, 34.8411, 0.331125, 0.201652, 0.30148, 0.30148, 0.153413, 0.332832, 0.126886, 0.184502, 0.139462
150, 0.0733022, 46.3223, 0.395457, 0.240612, 0.359728, 0.359732, 0.182967, 0.397109, 0.151408, 0.220184, 0.166636
175, 0.0848021, 63.633, 0.457048, 0.278315, 0.416092, 0.416089, 0.211524, 0.459066, 0.175117, 0.254639, 0.192477
200, 0.0956927, 90.0488, 0.516381, 0.314076, 0.469563, 0.469572, 0.238881, 0.518453, 0.197644, 0.287435, 0.217613
300, 0.120947, 480.413, 0.652905, 0.39695, 0.593464, 0.593473, 0.301993, 0.655425, 0.249811, 0.363321, 0.275182
400, 0.124277, 1218.71, 0.669674, 0.407826, 0.609714, 0.609708, 0.309945, 0.672553, 0.256584, 0.37309, 0.282007
450, 0.124754, 1607.22, 0.672383, 0.409594, 0.612376, 0.612401, 0.311839, 0.676345, 0.257739, 0.374743, 0.283252
500, 0.125012, 1999.36, 0.674978, 0.410384, 0.613537, 0.61353, 0.312177, 0.677489, 0.258254, 0.375592, 0.284508
550, 0.125318, 2388.85, 0.675244, 0.411218, 0.61478, 0.614768, 0.312419, 0.67797, 0.25871, 0.376179, 0.284344
