$0, $thru, $rt, $CGIT2, $CGIT2, $uDBDisk, $uDBP, $uDBS, $uProtocolStackT1, $uProtocolStackT2, $uWSDisk, $uWSP, $uWebServer
1, 0.000497782, 8.91095, 0.00126203, 0.00126203, 0.00163397, 0.00244287, 0.00244287, 0.0012421, 0.00269585, 0.00102814, 0.00126459, 0.0011301
5, 0.00248835, 9.36176, 0.00633332, 0.00633332, 0.00816773, 0.0122112, 0.0122111, 0.00620907, 0.0134762, 0.00513956, 0.00632153, 0.00564941
10, 0.00497526, 9.94612, 0.0127114, 0.0127114, 0.0163288, 0.0244123, 0.0244122, 0.0124127, 0.0269556, 0.0102749, 0.0126378, 0.0112935
50, 0.0248063, 15.6268, 0.06519, 0.06519, 0.0811699, 0.121338, 0.121311, 0.0618134, 0.134324, 0.0511805, 0.0629478, 0.0562709
75, 0.0371208, 20.4606, 0.0991383, 0.0991383, 0.120948, 0.180792, 0.180736, 0.0916908, 0.200058, 0.0760476, 0.0935068, 0.0835539
100, 0.0493205, 27.8102, 0.134555, 0.134555, 0.160989, 0.24059, 0.24043, 0.12143, 0.267632, 0.100793, 0.123893, 0.11067
125, 0.0613716, 37.258, 0.170315, 0.170315, 0.199716, 0.298408, 0.298129, 0.150155, 0.331702, 0.124704, 0.153238, 0.136835
150, 0.0731601, 51.2062, 0.206415, 0.206415, 0.23719, 0.354325, 0.3539, 0.177784, 0.393288, 0.147631, 0.181352, 0.161882
175, 0.0845319, 72.0001, 0.242256, 0.242256, 0.272781, 0.407416, 0.406842, 0.203984, 0.451411, 0.169178, 0.20776, 0.185403
200, 0.095112, 106.342, 0.276328, 0.276328, 0.305091, 0.455617, 0.454933, 0.22797, 0.504061, 0.188523, 0.231472, 0.206551
300, 0.116545, 591.062, 0.345939, 0.345939, 0.365649, 0.546199, 0.545638, 0.275332, 0.60473, 0.224233, 0.275384, 0.24608
400, 0.119093, 1382.88, 0.3544, 0.3544, 0.372615, 0.556622, 0.556078, 0.28088, 0.616263, 0.228264, 0.280343, 0.250555
450, 0.119518, 1792.47, 0.355843, 0.355843, 0.37381, 0.558406, 0.557861, 0.281807, 0.618198, 0.22895, 0.281186, 0.25131
500, 0.119782, 2204.7, 0.356748, 0.356748, 0.374563, 0.55953, 0.558982, 0.282384, 0.619405, 0.229381, 0.281715, 0.251783
550, 0.119966, 2618.16, 0.357382, 0.357382, 0.375091, 0.560316, 0.559767, 0.282787, 0.620247, 0.229683, 0.282084, 0.252114
