$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 0.000497747, 9.05235, 0.00275359, 0.00163385, 0.00244269, 0.00244269, 0.00400811, 0.00109845, 0.00156534, 0.00113002
5, 0.00248821, 9.47431, 0.0137652, 0.00816754, 0.0122109, 0.0122109, 0.0200396, 0.0054911, 0.00782504, 0.00564905
10, 0.00497507, 10.0214, 0.027523, 0.0163306, 0.024415, 0.024415, 0.0400757, 0.0109792, 0.0156457, 0.0112953
50, 0.0248096, 15.3475, 0.137216, 0.0814248, 0.121734, 0.121734, 0.200133, 0.054742, 0.0780068, 0.0563216
75, 0.0371315, 19.8549, 0.205291, 0.121855, 0.182177, 0.182173, 0.299789, 0.0819188, 0.116727, 0.0842713
100, 0.0493645, 25.7594, 0.272873, 0.162011, 0.242212, 0.242208, 0.398788, 0.108912, 0.15518, 0.112019
125, 0.0614632, 33.754, 0.33958, 0.201701, 0.301548, 0.30154, 0.49691, 0.135585, 0.193168, 0.139415
150, 0.0733477, 45.0822, 0.404992, 0.240676, 0.359814, 0.359803, 0.593437, 0.16177, 0.230453, 0.166283
175, 0.0848702, 62.0163, 0.468282, 0.27845, 0.416284, 0.416268, 0.687164, 0.18714, 0.266567, 0.192283
200, 0.0957452, 88.9471, 0.527875, 0.314084, 0.469555, 0.469534, 0.775754, 0.211062, 0.300611, 0.21677
300, 0.119438, 512.721, 0.656915, 0.391319, 0.585051, 0.585071, 0.969285, 0.262922, 0.37442, 0.26982
400, 0.122174, 1275.72, 0.67169, 0.40012, 0.598224, 0.598276, 0.991703, 0.268846, 0.382861, 0.275895
450, 0.122592, 1672.65, 0.673954, 0.401476, 0.600252, 0.600306, 0.99513, 0.269756, 0.384157, 0.276826
500, 0.122856, 2072.01, 0.675378, 0.402323, 0.60152, 0.601578, 0.997296, 0.270326, 0.38497, 0.277411
550, 0.123034, 2472.76, 0.676339, 0.402896, 0.602378, 0.602438, 0.998756, 0.270712, 0.385519, 0.277807
