$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 0.0821392, 10.1745, 0.434261, 0.26953, 0.402963, 0.402967, 0.754327, 0.281534, 0.350327, 0.298263
2, 0.0842114, 21.7528, 0.445145, 0.276274, 0.413049, 0.413061, 0.773449, 0.288582, 0.359102, 0.305747
3, 0.0849905, 33.3024, 0.449257, 0.278837, 0.416879, 0.416887, 0.780629, 0.291254, 0.362425, 0.308574
4, 0.0876176, 43.6586, 0.463116, 0.28745, 0.429755, 0.429762, 0.804791, 0.300246, 0.373614, 0.318094
5, 0.0899351, 53.6027, 0.47534, 0.295048, 0.441114, 0.44112, 0.826109, 0.308178, 0.383484, 0.326491
6, 0.091852, 63.3306, 0.485451, 0.301334, 0.450512, 0.450516, 0.843745, 0.31474, 0.391648, 0.333437
7, 0.0934373, 72.9262, 0.493808, 0.306528, 0.458277, 0.458281, 0.858331, 0.320163, 0.398395, 0.339178
8, 0.0947614, 82.4338, 0.500787, 0.310866, 0.464762, 0.464766, 0.870515, 0.324691, 0.40403, 0.343972
9, 0.0958808, 91.8792, 0.506687, 0.314534, 0.470246, 0.470249, 0.880817, 0.32852, 0.408795, 0.348026
10, 0.0968385, 101.279, 0.511734, 0.317672, 0.474937, 0.47494, 0.88963, 0.331796, 0.41287, 0.351493
11, 0.0976664, 110.644, 0.516096, 0.320384, 0.478992, 0.478995, 0.89725, 0.334627, 0.416393, 0.35449
12, 0.0983862, 119.985, 0.51989, 0.322745, 0.482521, 0.482523, 0.903875, 0.33709, 0.419458, 0.357096
13, 0.099023, 129.301, 0.523245, 0.324831, 0.485639, 0.48564, 0.909736, 0.339267, 0.422167, 0.359401
14, 0.0995876, 138.6, 0.526219, 0.32668, 0.488403, 0.488405, 0.914933, 0.341197, 0.424569, 0.361445
15, 0.100092, 147.884, 0.528875, 0.328331, 0.490872, 0.490873, 0.919573, 0.342921, 0.426713, 0.363269
16, 0.100544, 157.157, 0.531259, 0.329814, 0.493088, 0.49309, 0.92374, 0.344468, 0.428639, 0.364907
17, 0.100953, 166.419, 0.533413, 0.331153, 0.49509, 0.495091, 0.927504, 0.345866, 0.430378, 0.366387
18, 0.101324, 175.673, 0.535367, 0.332368, 0.496907, 0.496908, 0.930919, 0.347134, 0.431956, 0.367729
19, 0.101662, 184.92, 0.537148, 0.333476, 0.498563, 0.498564, 0.934033, 0.348291, 0.433395, 0.368953
20, 0.101972, 194.161, 0.538779, 0.33449, 0.500079, 0.50008, 0.936883, 0.349349, 0.434712, 0.370073
