$0, $threads, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 1, 0.000497782, 8.91095, 0.00268339, 0.00163397, 0.00244287, 0.00244287, 0.00393794, 0.00102814, 0.00149506, 0.0011301
5, 1, 0.00248842, 9.3108, 0.0134143, 0.00816822, 0.0122119, 0.0122119, 0.019686, 0.0051397, 0.00747383, 0.00564935
10, 1, 0.00497555, 9.82868, 0.0268217, 0.0163322, 0.0244175, 0.0244175, 0.0393631, 0.0102767, 0.0149438, 0.0112958
50, 1, 0.0248157, 14.8533, 0.13377, 0.0814559, 0.121781, 0.121781, 0.196361, 0.0512545, 0.0745308, 0.0563375
75, 1, 0.0371458, 19.0749, 0.200227, 0.121927, 0.182287, 0.182286, 0.293958, 0.0767197, 0.11156, 0.0843268
100, 1, 0.0493934, 24.5635, 0.266227, 0.162126, 0.242386, 0.242384, 0.390924, 0.102013, 0.148338, 0.112125
125, 1, 0.0615171, 31.9597, 0.331544, 0.201915, 0.301872, 0.301869, 0.486929, 0.127047, 0.184738, 0.139635
150, 1, 0.0734444, 42.3668, 0.395783, 0.241057, 0.36039, 0.360386, 0.581402, 0.151673, 0.220544, 0.166692
175, 1, 0.0850405, 57.8601, 0.458212, 0.279105, 0.417272, 0.417267, 0.673273, 0.175609, 0.255346, 0.192989
200, 1, 0.0960406, 82.5037, 0.517402, 0.315184, 0.471212, 0.471206, 0.760442, 0.198306, 0.288346, 0.217921
300, 1, 0.121542, 468.308, 0.65631, 0.398995, 0.596531, 0.596558, 0.961754, 0.25111, 0.365181, 0.276653
400, 1, 0.124565, 1211.35, 0.670891, 0.40876, 0.611111, 0.611107, 0.986478, 0.25717, 0.373926, 0.282577
450, 1, 0.125002, 1600.19, 0.673083, 0.410135, 0.613166, 0.613158, 0.99005, 0.258027, 0.375172, 0.283505
500, 1, 0.125169, 1994.23, 0.67606, 0.411032, 0.614512, 0.614511, 0.990502, 0.258672, 0.376163, 0.285014
550, 1, 0.125461, 2384.21, 0.675689, 0.411668, 0.615464, 0.615465, 0.993596, 0.259004, 0.376597, 0.2846
1, 5, 0.000497782, 8.91197, 0.0026834, 0.00163397, 0.00244287, 0.00244287, 0.00393795, 0.00102814, 0.00149506, 0.0011301
5, 5, 0.0024889, 8.92155, 0.0134961, 0.00822342, 0.0122138, 0.0123382, 0.0197927, 0.00514335, 0.00747516, 0.0057237
10, 5, 0.0049776, 8.99467, 0.0272741, 0.0165545, 0.0244252, 0.0249371, 0.0400612, 0.0102914, 0.0149492, 0.0115942
50, 5, 0.0248858, 9.16908, 0.143643, 0.0871306, 0.12173, 0.135177, 0.210104, 0.0515994, 0.0746388, 0.0638295
75, 5, 0.037317, 9.7745, 0.230058, 0.135191, 0.182224, 0.214166, 0.340683, 0.0774767, 0.111778, 0.10126
100, 5, 0.0497409, 10.3921, 0.323943, 0.186827, 0.242612, 0.301902, 0.481911, 0.103523, 0.148944, 0.142606
125, 5, 0.0621585, 10.9625, 0.427802, 0.24215, 0.302564, 0.3991, 0.63842, 0.1296, 0.185956, 0.187731
150, 5, 0.0745678, 11.5626, 0.542828, 0.30164, 0.362147, 0.506969, 0.811577, 0.155748, 0.222859, 0.236749
175, 5, 0.0869682, 12.1982, 0.670441, 0.365708, 0.421273, 0.626803, 1.00275, 0.181957, 0.259639, 0.289705
200, 5, 0.0993589, 12.8714, 0.811905, 0.43483, 0.479903, 0.759847, 1.2136, 0.20822, 0.296284, 0.346643
300, 5, 0.14875, 16.7212, 1.56979, 0.787233, 0.716856, 1.47033, 2.3323, 0.314746, 0.442731, 0.61814
400, 5, 0.196357, 37.0738, 2.9358, 1.37522, 0.955819, 2.76158, 4.174, 0.423758, 0.587497, 0.970486
450, 5, 0.208278, 160.507, 3.54722, 1.63714, 1.02202, 3.35216, 4.92821, 0.453116, 0.625527, 1.07935
500, 5, 0.210638, 373.653, 3.60917, 1.64709, 1.02287, 3.39779, 4.99577, 0.457523, 0.631475, 1.09638
550, 5, 0.209349, 627.16, 3.60137, 1.66068, 1.0271, 3.40542, 4.99742, 0.455418, 0.628521, 1.0881
1, 8, 0.000494154, 23.7816, 0.00530313, 0.00163322, 0.00244004, 0.0026676, 0.00974113, 0.00102231, 0.00148638, 0.00112912
